id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
170273,Stroll to Stunning Views from a Historic Home,804996,Nadine,Queen Anne,Lower Queen Anne,47.62767,-122.35861,Entire home/apt,750,2,218,2019-04-06,2.32,1,334
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,West Queen Anne,47.63548,-122.35848,Entire home/apt,85,2,279,2018-10-29,2.96,1,0
186328,"Beautiful Update Craftsman 3BR, 3BA",895223,Andrew,Queen Anne,North Queen Anne,47.64413,-122.3563,Entire home/apt,250,3,1,2013-11-08,0.02,1,0
189156,Sweet Studio -Water & Mountain view,179030,Harriet,West Seattle,Seaview,47.54543,-122.39784,Entire home/apt,78,2,273,2019-04-09,2.95,1,147
190984,Home in Hillman City - large studio & free parking,923095,Denise,Rainier Valley,Columbia City,47.55284,-122.27789,Entire home/apt,80,7,154,2019-03-17,2.57,2,67
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",933468,Vidya,West Seattle,North Admiral,47.58216,-122.39387,Private room,59,1,82,2019-03-29,2.19,2,75
193836,Spacious Suite Near Lincoln Park in West Seattle,583579,Amy,West Seattle,Gatewood,47.5357,-122.38631,Entire home/apt,89,1,165,2019-01-01,1.77,1,330
202174,Modern Townhome in Superb Location,58235,Apryl,Downtown,International District,47.59605,-122.31785,Entire home/apt,159,2,20,2018-11-21,0.24,1,0
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.6777,-122.35984,Entire home/apt,245,28,22,2018-08-31,0.38,1,323
202260,Cozy Seattle Apartment Near UW & Children's,990195,Kerry,Other neighborhoods,View Ridge,47.68004,-122.28398,Entire home/apt,99,30,143,2016-08-01,1.54,1,0
208670,2BR/1BA Quiet Capitol Hill Bungalow w/Loft,1022302,David,Capitol Hill,Broadway,47.62163,-122.31693,Entire home/apt,212,2,131,2017-08-31,1.50,1,0
210316,"""THE 5-STAR HOUSE""",2438665,Flor,Other neighborhoods,Crown Hill,47.6999,-122.36614,Private room,80,3,68,2019-03-31,1.15,4,351
215882,Relaxing Garden Cottage w/ Hot Tub!,971336,Julie,Rainier Valley,Columbia City,47.5613,-122.28122,Entire home/apt,80,2,346,2019-04-07,3.82,1,98
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,Ballard,Loyal Heights,47.68231,-122.37875,Private room,90,1,131,2018-08-18,1.58,2,152
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65692,-122.36093,Entire home/apt,275,3,76,2018-08-25,0.90,6,122
222885,Gluten Free on Phinney Ridge,72845,Judith,Other neighborhoods,Phinney Ridge,47.67575,-122.35739,Private room,75,2,30,2018-11-12,0.33,2,148
225820,Family Friendly on Phinney Ridge,72845,Judith,Other neighborhoods,Phinney Ridge,47.67781,-122.35862,Private room,90,2,83,2018-10-21,1.13,2,147
226495,"Fun apartment in Ballard, Seattle",1037115,Rose And Glen,Ballard,Whittier Heights,47.68966,-122.36839,Entire home/apt,170,3,81,2018-10-31,0.96,6,325
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.6612,-122.40145,Private room,46,1,167,2018-12-02,1.85,2,318
226677,Sunny Parisian beauty room w/ comfy bed,30559,Angielena,Other neighborhoods,Georgetown,47.54969,-122.31868,Private room,55,2,136,2019-03-09,1.50,7,333
227636,Large Ballard/Fremont apartment,1187351,Michael,Ballard,West Woodland,47.66807,-122.36209,Entire home/apt,120,2,216,2019-04-07,2.39,1,29
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57823,-122.41181,Entire home/apt,160,1,2,2019-01-02,0.20,1,304
231097,Peaceful NE Seattle guest room,990692,Paul,Lake City,Matthews Beach,47.70639,-122.28075,Private room,54,3,143,2019-04-23,1.55,1,364
